line,text
299,mands of the First Amendment's free-press guarantees and the right 
300,of a potential defendant to a trial unprejudiced by publicity about 
301,his conduct. An administrative office dealt with the many problems 
302,"of space allocation, payroll, supplies, equipment, clerical help, and "
303,2 While the initial agreement between the Committee and the Special Pros- 
304,"ecutor had covered only information made public at the Committee’s hearings, "
305,the Committee agreed in March 1974 to provide WSPF with computer access to 
306,other information its staff had gathered which had not been disclosed in hearings. 
307,"3 In addition, there were ten temporary employees at that time. "
308,4 This task force also looked into various alleged abuses related to Federal 
309,agencies and later into possible illegal activity in connection with President 
310,Nixon’s tax returns. 
311,7
312,messenger service. The FBI and IRS supplied personnel who worked 
313,"closely with WSPF in some of its investigations, while the Federal "
314,Protective Service provided security services for WSPF’£ offices in a 
315,private building in downtown Washington. 
316,The Assistant U.S. Attorneys who had handled the initial Water- 
317,"gate investigation — Earl Silbert, Seymour Glanzer, and Donald "
318,"Campbell — worked with WSPF until the end of June, when they "
319,returned to the U.S. Attorney’s office for the District of Columbia. 
320,The grand jury that had brought the original Watergate indictment 
321,"in the fall of 1972, and had received new evidence in the spring of "
322,"1973, continued to hear evidence gathered by WSPF in the Watergate "
323,cover-up case. In August a second grand jury was empaneled to hear 
324,"evidence in other cases, and a third grand jury was added in January "
325,1974. Because the original grand jury was so familiar with the Water- 
326,"gate case, special legislation in December 1973 extended its term "
327,beyond the normal 18 months. 
328,As the various task forces were absorbing information already 
329,gathered by other investigators and beginning to interview witnesses 
330,"and bring them before the grand jury, the Senate Select Committee "
331,"continued its hearings. In June, former White House counsel John "
332,Dean gave testimony implicating President Nixon and his closest 
333,"advisors in the Watergate cover-up. On July 16, a former White "
334,House official told the Committee that President Nixon in 1971 had 
335,installed in the White House a taping system designed to record his 
336,meetings and telephone conversations. This revelation opened up 
337,the possibility of obtaining evidence that could resolve the con- 
338,flicting testimony about alleged involvement of Administration 
339,officials in various crimes. 
340,"On July 23, the Special Prosecutor, after unsuccessful attempts "
341,"to obtain such material from the President on a voluntary basis, "
342,"issued a subpoena on behalf of the grand jury for the tapes, "
343,"notes, and memoranda of nine conversations which the available "
344,evidence indicated were relevant and necessary to the investigation. 
345,"The President opposed the subpoena, and appealed Judge Sirica’s "
346,order enforcing it to the U.S. Court of Appeals for the District of 
347,Columbia Circuit. After first suggesting that Cox and the White 
348,House seek a compromise — which they were unable to do — the ap- 
349,pellate court on October 12 affirmed Judge Sirica’s order with modifi- 
350,cations sought by the Special Prosecutor. The Court directed Judge 
351,Sirica to listen to the tapes to determine whether they contained 
352,"discussions subject to a valid claim of executive privilege, and then "
353,turn over any unprivileged sections of the tapes to the grand jury. 
354,While the litigation over the subpoenaed tapes had delayed the 
355,"Watergate and other WSPF investigations, the prosecutors had made "
356,considerable progress in the first six months of their work. The Water- 
357,8
358,"gate investigation had produced guilty pleas from Fred LaRue, Jeb "
359,"Magruder, and John Dean on charges of conspiracy to obstruct "
360,justice. Donald Segretti had pleaded guilty to charges of conspiracy 
361,and distributing campaign literature without properly identifying its 
362,"source, in connection with his “dirty tricks” operation. Egil Krogh, Jr. "
363,had been indicted for lying to the grand jury in prior testimony 
364,regarding the “Plumbers’ ” activities. Three large corporations — 
365,"American Airlines, Goodyear Tire and Rubber, and Minnesota "
366,Mining and Manufacturing — had entered guilty pleas to making 
367,"illegal corporate contributions in the 1972 Presidential election, as "
368,had the responsible officers of two of them. Dwayne Andreas and his 
369,First Interoceanic Corporation had been charged with the same 
370,"offenses. Other investigations had progressed, and were expected to "
371,produce additional indictments and guilty pleas. In the negotiations 
372,"leading to their guilty pleas, Segretti, LaRue, Magruder, and Dean "
373,had agreed to disclose to WSPF what they knew about the Watergate 
374,case and other matters under investigation. 
375,Dean’s guilty plea and agreement to cooperate with the prosecutors 
376,"came October 19, the last day for the President to seek Supreme "
377,Court review of the decision ordering him to produce the tapes. 
378,"Instead of asking the Supreme Court to hear the case, he announced "
379,a proposed compromise: Senator John Stennis would listen to the 
380,tapes and review a statement of their contents; if verified by Stennis 
381,the statement would then be given to the Special Prosecutor and the 
382,"grand jury. Under an integral part of the proposal, Cox would agree "
383,not to litigate further with respect to the nine tapes or to seek addi- 
384,tional tapes in the future. 
385,"In a news conference the following day, Cox stated his reasons for "
386,"not accepting the proposal. Edited summaries, he noted, probably "
387,would not be admissible as evidence in court. His agreement not to 
388,seek additional tapes would prevent WSPF from conducting its 
389,investigations thoroughly. And the order to accept the compromise 
390,"terms, he said, was inconsistent with the pledge of independence he "
391,had received from Attorney General Richardson at the time of his 
392,appointment. 
393,"That evening, October 20, the White House announced the events "
394,that came to be known as the “Saturday Night Massacre”: President 
395,Nixon ordered Attorney General Richardson to dismiss Cox for his 
396,refusal to accept the White House proposal; Richardson resigned 
397,"rather than carry out the order, and Deputy Attorney General William "
398,"Ruckelshaus was fired for his refusal to obey; finally, Solicitor General "
399,"Robert Bork, next in seniority at the Justice Department, dismissed "
400,"Cox as Special Prosecutor. Also on White House orders, agents of "
401,"the FBI occupied the offices of WSPF, the Attorney General, and "
402,the Deputy Attorney General in order to prevent the removal of any 
403,"documents. WSPF staff members, gathered in their offices, were "
404,9
405,informed that they would work henceforth as part of the Justice 
406,Department’s Criminal Division. 
407,The events leading to Cox’s dismissal had been foreshadowed by a 
408,number of his contacts with Attorney General Richardson over the 
409,previous months. On several occasions Richardson had asked whether 
410,particular matters Cox appeared to be investigating were under his 
411,jurisdiction and had expressed concern that Cox’s inquiries were 
412,going into areas not contemplated when WSPF was established. 
413,Some of these questions were inherent in the apparent breadth of 
414,"Cox’s charter. Other questions rose from Richardson’s own misgivings, "
415,and those of White House officials. 
416,The actions which Richardson raised in conversation with Cox 
417,included WSPF’s possible inquiry into the financing of President 
418,"Nixon’s two homes, its broad letters to several Federal agencies "
419,"asking their policies and practices in electronic surveillance, the inter- "
420,viewing of a former White House aide who had prepared a controver- 
421,"sial plan for intelligence gathering by the executive branch, investiga- "
422,"tion of wiretaps claimed to be justified by national security, and an "
423,inquiry into the handling of campaign contributions by a close friend 
424,"of the President. In July, because both he and Cox were uneasy about "
425,the prospect of a series of politically motivated referrals to WSPF of 
426,"charges against the President or his Administration, with attendant "
427,"publicity, Richardson had suggested that the Criminal Division "
428,screen all allegations to determine whether they were substantial 
429,and fell within WSPF’s jurisdiction before sending them on to Cox. 
430,Cox quickly rejected this proposal and Richardson did not pursue 
431,"it. In August, citing the concerns of White House officials that Cox "
432,"was reaching beyond his charter, Richardson proposed revising the "
433,Special Prosecuter’s charter to define his jurisdiction with more 
434,"precise limitations, and appointing a special consultant on national "
435,security matters to serve as an expediting intermediary between the 
436,Special Prosecutor and agencies from which he was seeking informa- 
437,tion regarding such matters. Cox felt that it was his own responsibility 
438,"to determine what matters fell within the terms of his existing charter, "
439,and rejected any charter revisions as unnecessary. Cox also disagreed 
440,with the idea of a national security consultant because he saw such an 
441,official as a possible hindrance rather than an aid to obtaining neces- 
442,sary information. 
443,Richardson also informed Cox of White House positions on various 
444,"issues, including the production of evidence in response to the Special "
445,Prosecutor’s requests. Despite their willingness to take independent 
446,positions on such legal issues as executive privilege and national 
447,"security, Richardson and Cox had also made efforts to reach agree- "
448,ment on such issues. During the period just before his resignation and 
449,"Cox’s dismissal, Richardson had made efforts to achieve a compromise "
450,10
451,on the question of the Special Prosecutor's access to the subpoenaed 
452,tapes. 
453,"OCTOBER 20, 1973-AUGUST 9, 1974 "
454,"The “Saturday Night Massacre” did not halt the work of WSPF, "
455,and the prosecutors resumed their grand jury sessions as scheduled 
456,the following Tuesday. Bork placed Assistant Attorney General 
457,"Henry Petersen, head of the Criminal Division, in charge of the in- "
458,vestigations WSPF had been conducting. Both men assured the staff 
459,that its work would continue with the cooperation of the Justice 
460,Department and without interference from the White House. Upon 
461,"WSPF's request, Judge Sirica issued a protective order to limit access "
462,"to, and prevent removal of, WSPF files. Despite their anger over "
463,"Cox's dismissal and their doubts about the future of their office, the "
464,"staff members, in a series of meetings, decided to continue their "
465,work for the time being. 
466,"Nevertheless, the dismissal of Cox and the President's refusal "
467,to produce the subpoenaed tapes provoked what one White House 
468,official called a “firestorm” of public criticism and serious talk of 
469,"impeachment on Capitol Hill. In an abrupt reversal, the President "
470,announced on October 23 that he would comply with the grand jury 
471,subpoena and on October 26 that Bork would appoint a new Special 
472,Prosecutor who would have “total cooperation from the executive 
473,branch.” While the President said he would be unwilling to produce 
474,additional White House tapes or other evidence that he considered 
475,"privileged, he placed no restrictions on the new Special Prosecutor's "
476,authority to seek such evidence through the courts. 
477,"On November 1, the President announced that he would nominate "
478,Senator William B. Saxbe as the new Attorney General. Later that 
479,"day, Acting Attorney General Bork announced his appointment of "
480,"Leon Jaworski as Special Prosecutor. Jaworski, who was sworn into "
481,"office November 5, was assured the same jurisdiction and guarantees "
482,"of independence as Cox, with the additional provision that he could "
483,"be dismissed, or his jurisdiction limited, only with consent of a bi- "
484,partisan group of eight Congressional leaders. Three days after taking 
485,"office, Jaworski told a House subcommittee that the continuity of "
486,WSPF operations had been restored and that the office's staff would 
487,remain intact. 
488,"Meanwhile, a number of bills had been introduced in Congress "
489,to provide for judicial appointment or other safeguards of the inde- 
490,pendence of the Special Prosecutor. In the wake of the “Saturday 
491,"Night Massacre,” many people thought it impossible to assure an "
492,independent investigation by anyone appointed solely by the exe- 
493,cutive branch of Government or subject to dismissal without Con- 
494,11
495,gressional approval. Others including Chief Judge Sirica and some of 
496,"his fellow judges opposed the idea of a court-appointed prosecutor, "
497,and Saxbe testified that he had accepted his nomination only on the 
498,condition that Jaworski’s investigation would remain independent. 
499,Jaworski testified that he would welcome any legislation protecting 
500,"his independence further, but was satisfied with his charter and the "
501,"assurances he had been given. In mid-November, ruling on a civil "
502,"suit that challenged the dismissal of Cox, District Judge Gerhard "
503,"Gesell held that Cox’s firing had been illegal. However, noting that "
504,"Cox had not sought reinstatement, the judge said there was no reason "
505,"to interfere with Jaworski’s tenure. As a result of all these events, "
506,Congress abandoned the idea of establishing a special prosecutor’s 
507,office by legislation. 
508,Less than a week after the President’s attorney had told Judge 
509,Sirica that the nine subpoenaed tapes would be produced for his 
510,"examination, another White House lawyer announced that two of "
511,the conversations for which tapes had been sought had in fact never 
512,"been recorded. Shortly thereafter, during a court inquiry into the "
513,"question of the President’s compliance with the subpoena, White "
514,House lawyers disclosed that the tape of a third conversation con- 
515,tained a substantial “gap” — a humming sound which obliterated 
516,some 18 % minutes of one of the President’s conversations— and that 
517,dictabelts of the President’s recollections of two of the conversations 
518,contained shorter gaps. A panel of experts chosen by White House 
519,and WSPF lawyers reported in January 1974 that the 18%-minute 
520,"gap had been caused by a series of deliberate erasures, and that it "
521,was impossible to retrieve the original conversation. Judge Sirica 
522,"thereupon referred the matter to a grand jury. A lengthy investigation, "
523,"conducted by WSPF and the FBI, concluded that only a small "
524,number of people had had the opportunity to make the erasures but 
525,was unable to fix criminal responsibility on any particular individual 
526,or individuals. 
527,"Meanwhile, the task force investigations continued. By the end "
528,"of 1973, five more corporations — Braniff Airways, Ashland Petroleum "
529,"Gabon Inc., Gulf Oil Corporation, Phillips Petroleum Company, "
530,and Carnation Company — and their responsible officers had pleaded 
531,guilty to making corporate contributions to 1972 Presidential cam- 
532,paigns. Former Presidential aide Dwight Chapin had been indicted 
533,for making false statements to the grand jury in connection with 
534,"Segretti’s activities. Egil Krogh, Jr., former head of the White House "
535,"“Plumbers,” had entered a guilty plea to conspiring to violate the "
536,"rights of Dr. Fielding, whose office had been broken into in a vain "
537,attempt to obtain Daniel Ellsberg’s psychiatric records. 
538,The new year brought additional indictments and guilty pleas. 
539,"Herbert Porter, a former aide in the President’s re-election campaign, "
540,pleaded guilty to making false statements in connection with the 
541,12
542,"original investigation of the Watergate ease. Jake Jacobsen, an "
543,attorney who had helped milk producer cooperatives make campaign 
544,"contributions and obtain an increase in milk price supports, was "
545,indicted on charges of making false statements to the grand jury. 
546,"Herbert Kalmbach, the Presidents personal lawyer and an active "
547,"campaign fundraiser, pleaded guilty to a felony violation of the "
548,Federal Corrupt Practices Act in his fund-raising for candidates in 
549,the 1970 Congressional elections and to a charge of promising an 
550,ambassadorship to a campaign contributor. 
551,Efforts to obtain additional recordings and other documents from 
552,"the White House, for use as evidence in various grand jury investiga- "
553,"tions, continued during the winter of 1973-74. For a short period "
554,"after Jaworski took office, the White House offered limited cooperation "
555,by supplying some of the numerous tapes and documents requested 
556,"by WSPF over the past four months. In January, however, the "
557,"President retained as counsel James St. Clair, whose major concern "
558,-appeared to be protecting him against possible impeachment. The 
559,"President stopped his initial cooperation with Jaworski, and WSPF "
560,requests were soon met by unusual delays and claims that some 
561,"materials could not be located. Other materials, the President said, "
562,were unnecessary to the grand jury investigations. To furnish them 
563,would be inconsistent with his constitutional responsibilities. 
564,"During the winter, and again in the late spring of 1974, Jaworski "
565,"met periodically with General Alexander Haig, the President’s chief "
566,"of staff. For the most part, these meetings involved attempts by "
567,Jaworski to persuade Haig that the President shoxild provide WSPF 
568,with materials it was seeking. Haig complained about particular 
569,"actions by WSPF staff members, including their intensive questioning "
570,of White House witnesses in the grand jury and their efforts to have 
571,FBI agents interview White House staff members in connection with 
572,the investigation of the 1834-minute tape gap. 
573,"On March 1, the grand jury returned an indictment in the Water- "
574,gate cover-up case of seven men formerly associated with the White 
575,"House or CUP — Charles Colson, John Ehrlichman, H. R. Haldeman, "
576,"Robert Mardian, John Mitchell, Kenneth Parkinson, and Gordon "
577,"Strachan — on charges of conspiracy, obstruction of justice, and, as "
578,"to some, perjury and false declarations. A week later six men — "
579,"Bernard Barker, Colson, Felipe DeDiego, Ehrlichman, Gordon "
580,"Liddy, and Eugenio Martinez — were indicted for conspiring to "
581,violate Dr. Fielding’s civil rights in connection with the illegal entry 
582,"of his office, and Ehrlichman was charged in addition with making "
583,false statements to the FBI and the grand jury about the case. 
584,The grand jury hearing evidence in the Watergate case concluded 
585,"that President Nixon had been a participant in the cover-up. However, "
586,"after extensive legal research in the office, Jaworski concluded that "
587,it would be improper to indict an incumbent President for such a crime 
588,13
589,591-439 0 - 75 -2 
590,when the House of Representatives’ Judiciary Committee had 
591,"already begun a formal impeachment inquiry. He believed, in addi- "
592,"tion, that such an indictment would be challenged and ultimately "
593,"overturned by the Supreme Court, and that the fruitless litigation "
594,would delay the trial of the seven cover-up defendants and possibly 
595,also temporarily halt the impeachment inquiry. The grand jury then 
596,authorized the Special Prosecutor to name President Nixon as an 
597,unindicted co-conspirator in the cover-up case. Since this finding was 
